% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.224	1	1	23	5	1	22	1431
0.224	2	2	23	5	1	22	1431
0.137	1	1	14	8	1	28	2292
0.125	1	1	13	6	1	28	2292
0.191	2	1	20	2	1	28	2292
0.225	1	1	23	6	1	22	1431
0.225	2	2	23	6	1	22	1431
0.193	2	1	20	4	1	28	2292
0.035	1	1	4	6	1	28	749
0.035	1	2	4	6	2	28	749
0.138	1	1	14	9	1	28	2292
0.035	1	3	4	6	3	28	749
0.081	1	3	9	2	1	28	749
0.226	1	1	23	7	1	22	1431
0.081	1	1	9	2	2	28	749
0.126	1	1	13	7	1	28	2292
0.081	1	2	9	2	3	28	749
0.035	2	5	4	6	1	28	749
0.226	2	2	23	7	1	22	1431
0.035	2	4	4	6	2	28	749
0.035	2	6	4	6	3	28	749
0.227	1	1	23	8	1	22	1431
0.139	1	1	14	10	1	28	2292
0.035	3	8	4	6	1	28	749
0.057	1	22	6	8	1	4	105
0.227	2	2	23	8	1	22	1431
0.127	1	1	13	8	1	28	2292
0.035	3	7	4	6	2	28	749
0.057	1	18	6	8	2	2	65
0.035	3	9	4	6	3	28	749
0.057	2	15	6	8	1	4	105
0.057	2	14	6	8	2	8	209
0.035	4	12	4	6	1	28	749
0.228	1	1	23	9	1	22	1431
0.035	4	11	4	6	2	28	749
0.035	4	10	4	6	3	28	749
0.057	3	17	6	8	1	14	389
0.228	2	2	23	9	1	22	1431
0.14	1	1	15	1	1	28	2292
0.057	3	16	6	8	2	6	153
0.128	1	1	13	9	1	28	2292
0.035	5	13	4	6	1	28	749
0.035	5	14	4	6	2	28	749
0.229	1	1	23	10	1	22	1431
0.035	5	15	4	6	3	28	749
0.082	1	3	9	3	1	28	749
0.082	1	1	9	3	2	28	749
0.057	6	7	6	8	1	8	137
0.229	2	2	23	10	1	22	1431
0.082	1	2	9	3	3	28	749
0.035	6	16	4	6	1	28	749
0.057	6	23	6	8	2	2	41
0.035	6	17	4	6	2	28	749
0.057	6	13	6	8	3	4	69
0.035	6	18	4	6	3	28	749
0.141	1	1	15	2	1	28	2292
0.129	1	1	13	10	1	28	2292
0.057	7	11	6	8	1	6	101
0.23	1	1	24	1	1	22	1431
0.057	7	9	6	8	2	16	309
0.201	2	1	21	2	1	28	2292
0.057	7	10	6	8	3	12	201
0.23	2	2	24	1	1	22	1431
0.041	1	1	5	2	1	6	153
0.041	1	2	5	2	2	4	105
0.057	8	20	6	8	1	10	501
0.203	2	1	21	4	1	28	2292
0.231	1	1	24	2	1	22	1431
0.13	1	1	14	1	1	28	2292
0.057	9	6	6	8	1	2	41
0.142	1	1	15	3	1	28	2292
0.041	2	3	5	2	1	6	153
0.231	2	2	24	2	1	22	1431
0.041	2	4	5	2	2	4	105
0.057	10	1	6	8	1	18	999
0.083	1	3	9	4	1	28	749
0.232	1	1	24	3	1	22	1431
0.041	3	6	5	2	1	4	105
0.083	1	1	9	4	2	28	749
0.232	2	2	24	3	1	22	1431
0.057	11	2	6	8	1	12	621
0.131	1	1	14	2	1	28	2292
0.041	3	5	5	2	2	8	209
0.083	1	2	9	4	3	28	749
0.057	12	3	6	8	1	28	2292
0.206	2	1	21	7	1	28	2292
0.143	1	1	15	4	1	28	2292
0.233	1	1	24	4	1	22	1431
0.041	4	7	5	2	1	6	153
0.057	13	4	6	8	1	28	2292
0.041	4	8	5	2	2	6	153
0.233	2	2	24	4	1	22	1431
0.041	5	10	5	2	1	6	153
0.132	1	1	14	3	1	28	2292
0.041	5	9	5	2	2	6	153
0.234	1	1	24	5	1	22	1431
0.144	1	1	15	5	1	28	2292
0.234	2	2	24	5	1	22	1431
0.235	1	1	24	6	1	22	1431
0.133	1	1	14	4	1	28	2292
0.084	1	3	9	5	1	28	749
0.084	1	1	9	5	2	28	749
0.235	2	2	24	6	1	22	1431
0.084	1	2	9	5	3	28	749
0.145	1	1	15	6	1	28	2292
